光学字符识别	OCR
商品推销	merchandising
商场	mall
商场	emporium
商家编码	MSKU
商店	shop
商店	store
商店扒手	shoplifter
商店的	shoppy
商店行窃	shoplifting
商标	TM
商标	tm
商船	merchantman
商队旅馆	caravansary
商陆	pokeweed
啊	ah
啊哈	aha
啜泣	snivel
啜饮	sup
啜饮	sip
啤酒	beer
啤酒味的	beery
啤酒杯	stein
啤酒检验员	aleconner
啤酒花	hops
啤酒馆	brasserie
啦	lah
啦啦队长	cheerleader
啧	tut
啪嗒声	splat
啮蚀状的	erose
啮齿动物	rodent
啰嗦者	proser
啼叫	crowed
啼叫	crowing
喀喇昆仑	karakorum
喀土穆	Khartoum
喀尔巴阡	Carpathia
喀尔巴阡山脉	Carpathians
喀布尔	Kabul
喀拉喀托	Krakatoa
喀拉拉	kerala
喀斯特	karst
喀耳刻	Circe
喀里多尼亚	caledonia
喀里多尼亚的	Caledonian
喀麦隆	Cameroun
喀麦隆	Cameroon
喂	hoy
喂	ahoy
喂养	fed
喂养	feed
喂食器	feeder
善变	fickle
善变	mercurial
善变的	capricious
善意	goodwill
善良	goodness
善良的	kindhearted
善行	benefaction
喇叭	klaxon
喇嘛	lama
喇嘛寺	lamasery
喇嘛教	lamaism
喉	larynx
喉切开术	laryngotomy
喉咙	troat
喉咙	throat
喉头送话器	laryngaphone
喉炎	laryngitis
喉的	laryngeal
喉科学	laryngology
喉镜	laryngoscope
喉音化	gutturalize
喉音的	guttural
喊叫	yell
喊叫	cries
喊叫者	crier
喊叫者	yeller
喋喋不休	jabber
喋喋不休	patter
喋喋不休中	pattering
喋喋不休了	pattered
喋喋不休者	babbler
喋喋不休者	prattler
喘不过气的	breathless
喘息	gasp
喘息	heaves
喘息中	gasping
喘息了	gasped
喘息的	wheezy
喘息者	gasper
喘气	pant
喘气	winded
喙	neb
喙突	coracoid
喙部的	rostral
喜剧	comedy
喜剧	comedies
喜剧演员	comedian
喜剧的	comedic
喜动物的	zoophilous
喜庆	festivity
喜庆的	festive
喜怒无常	moodiness
喜怒无常的	temperamental
喜悦	joy
喜悦	delight
喜悦地	joyously
喜悦的	joyous
喜新	neophilia
喜旱的	xerophilous
喜来登	Sheraton
喜林芋	philodendron
喜欢	like
喜欢	fond
喜气洋洋的	beaming
喜爱	fav
喜爱	liking
喜马拉雅	Himalaya
喜马拉雅山脉	Himalayas
喜马拉雅的	himalayan
喜鹊	magpie
喝	drink
喝	drank
喝彩	ovation
喝彩声	bravo
喝醉的	squiffed
喧嚣	hurly
喧嚷	vociferation
喧嚷的	vociferant
喧嚷的	vociferous
喧闹	din
喧闹	blat
喧闹地	boisterously
喧闹的	riotous
喧闹的	uproarious
喧闹者	clatterer
喵	mew
喵	meow
喵了	mewed
喷出	puff
喷出	spew
喷出的	extrusive
喷口	spout
喷嘴	nozzle
喷墨	inkjet
喷墨打印机	DeskJet
喷子	flamer
喷射	spurt
喷射	jetted
喷射了	spurted
喷枪	airbrush
喷气助推起飞	jato
喷气声	chuff
喷气式客机	jetliner
喷气式飞机	jet
喷气机机场	jetport
喷水孔	blowhole
喷油井	gusher
喷泉	fountain
喷洒	sparge
喷洒	sprayed
喷涌	spouting
喷溅	sputter
喷溅了	sputtered
喷火器	flamethrower
喷灯	blowlamp
喷砂	sandblast
喷雾	spray
喷雾器	sprayer
喹啉	quinoline
嗅	sniff
嗅探	sniffing
嗅探器	sniffer
嗅觉	olfaction
嗅觉的	olfactory
嗅过	sniffed
嗅闻	sniffs
嗉囊	craw
嗖	swoosh
嗖	whoosh
嗖嗖作响的	swished
嗖嗖声	whish
嗖嗖声	swish
嗜好	penchant
嗜盐菌	halophile
嗜睡症	narcolepsy
嗜血的	bloodthirsty
嗜酒的	bibulous
嗡嗡作响	buzzing
嗡嗡作响的	abuzz
嗡嗡声	buzz
嗡嗡声	hums
嗡鸣	thrum
嗤之以鼻	poohed
嗨	hi
嗨哟	halloo
嗨嗨俱乐部	HHCLUB
嗬	ho
嗯	hmm
嗯	ahem
嘈杂	noisiness
嘉吉	Cargill
嘉年华员工	carny
嘌呤霉素	puromycin
嘎吱作响	crunched
嘎吱作响	crunching
嘎吱声	crunch
嘎吱声	scroop
嘎嘎叫	quack
嘎嘎叫	squawk
嘎嘎叫了	quacked
嘎嘎叫了	squawked
嘎嘎叫声	squawks
嘎嘎叫着	squawking
嘎嘎声	rattle
嘎奇	gakki
嘘	chut
嘘	psst
嘘声	boo
嘘声	hist
嘘走	shoo
嘟嘟声	toot
嘟嘟声	tootle
嘣	boing
嘧啶	pyrimidine
嘲弄	taunt
嘲弄	mocks
嘲弄地	jeeringly
嘲弄地	mockingly
嘲弄的	mocking
嘲弄的	sardonic
嘲弄者	guyer
嘲弄者	mocker
嘲笑	jeer
嘲笑	razz
嘲笑了	mocked
嘲笑了	scoffed
嘲笑地	sneeringly
嘲笑的	derisive
嘲笑着	ridiculing
嘲笑者	scoffer
嘲鸟	mockingbird
嘴	bazoo
嘴	mouth
嘴唇	lip
嘴的	oscular
嘶哑	hoarse
嘶哑	hoarseness
嘶哑地	hoarsely
嘶嘶作响	hissed
嘶嘶作响	hissing
嘶嘶声	hiss
嘶嘶声	fizz
嘶鸣	neigh
嘻哈	Hip-Hop
嘻嘻	teehee
嘿	hey
嘿	heigh
嘿嘿	hehe
噗	pooh
噘嘴	pouts
噘嘴	pursed
噘嘴的	pouty
噘嘴者	pouter
器乐曲	instrumentals
器具	utensil
器官	organ
器官疗法	organotherapy
噩梦	nightmare
噩梦般	nightmarish
噪音	noise
噬菌体	bacteriophage
噱头	gag
噱头	shtick
噼啪作响	crackled
噼啪作响的	crackly
噼啪声	crackle
噼啪声	crepitation
噼啪的	crepitant
嚎叫	waul
嚎叫	howl
囊	sac
囊泡	vesicle
囊泡的	vesicular
囊状的	saccate
囊肿	cyst
囊肿的	cystic
囊胚	blastula
囚犯	inmate
囚犯	prisoner
囚禁	captivity
四	four
四	tetra
四人组	foursome
四价的	tetravalent
四位一体	quaternity
四便士	fourpence
四倍	quad
四倍	fourfold
四倍高清	QHD
四元	quaternary
四元数	quaternion
四分之一	quarter
四分之一决赛	quarterfinal
四分之一决赛选手	quarterfinalist
四分之一混血	quadroon
四分之一统治者	tetrarch
四分位数	quartile
四分卫	quarterback
四分法	quartation
四分统治	tetrarchate
四分锯	quartersaw
四分音符	crotchet
四十	forty
四十年代	forties
四叶饰	quatrefoil
四学科	quadrivium
四年一度	quadrennial
四开	quarto
四日热	quartan
四旬斋的	Lenten
四月	avril
四月	April
四极	quadrupole
四次	quartic
四次	biquadratic
四点	quadripuntal
四环素	tetracycline
四联体	tetrad
四肢	extremities
四胞胎	quadruplet
四舍五入	rounding
四行诗	quatrain
四足动物	quadruped
四轮马车	landau
四轮马车	brougham
四边形	tetragon
四边形	quadrangle
四边形的	tetragonal
四边形的	quadrangular
四部分	quadripartite
四部曲	tetralogy
四重	quadruplex
四重奏	quartet
四面体	tetrahedron
四面体的	tetrahedral
四音列	tetrachord
四音步	tetrameter
四项式	quadrinomial
回合	bout
回合	rounds
回合制	Turn-Based
回味	aftertast
回味	aftertaste
回响	reecho
回响	resound
回响的	reverberant
回填	backfill
回声	echo
回声定位	echolocation
回复	reply
回复	replies
回家	homeward
回应	respond
回应	response
回应中	responding
回应了	responded
回应者	responder
回廊	cloisters
回归	reversion
回归	regression
回归者	returner
回忆	recollect
回忆	reminisce
回忆录	memoir
回扣	rebate
回扣	kickback
回报	payoff
回报	returns
回报者	reciprocator
回拨	callback
回收	recycle
回收	reclaim
回收的	recycled
回收的	reclaimed
回收者	reclaimer
回放	playback
回文	palindrome
回文的	palindromic
回旋加速器	cyclotron
回旋诗	rondel
回旋镖	boomerang
回流	reflux
回流	backwash
回滚	rollback
回火	tempering
回火的	tempered
回答	answer
回答者	answerer
回肠	ileum
回荡	echoed
回荡	echoing
回购	repurchase
回转赛	slalom
回避	sidestep
回避	avoidance
回避的	abient
回避者	avoider
回针	backstitch
回针的	backstitched
回顾	retrospect
回顾	retrospection
因为	coz
因为	because
因式分解	factorization
因弗内斯	Inverness
因果关系	causality
因果关系	causation
因果地	causally
因果的	causal
因此	ergo
因此	thus
因素	factor
因纽特人	Inuit
团	regiment
团伞花序	glomerule
团的	regimental
团结	solidarity
团结	togetherness
团聚	reunion
团聚	agglomerate
团聚中	agglomerating
团聚物	agglomerates
团聚的	agglomerated
团队	team
团队	crews
团队合作	teamwork
囤积	hoard
囤积	regrate
囤积者	hoarder
囤积行为	hoarding
园丁	gardener
园丁鸟	bowerbird
园艺	gardening
园艺	horticulture
园艺家	horticulturist
园艺家	horticulturalist
园艺的	horticultural
困倦	sleepy
困倦	sleepiness
困倦地	sleepily
困倦的	dozy
困倦的	drowsy
困境	limbo
困境	plight
困惑	bemuse
困惑	puzzled
困惑中	befogging
困惑地	confusedly
困惑的	baffled
困惑的	confused
困扰	beset
困扰	harried
困扰的	besetting
困苦	hardship
困难	difficult
困难	difficulty
困难地	difficultly
围住	enclose
围住中	enclosing
围住的	fenced
围入公园	impark
围嘴	bib
围困	siege
围地	inclosure
围场	paddock
围城	contravallation
围墙	circumvallation
围巾	scarf
围巾	fogle
围巾别针	scarfpin
围捕	roundup
围攻	seige
围攻	besiege
围攻的	besieging
围攻者	besieger
围栏	corral
围栏	pinfold
围绕	girt
围绕	begird
围裙	pinny
围裙	apron
围裙量	apronful
围起	inclose
围起中	inclosing
围起的	inclosed
固件	firmware
固体	solids
固化	curing
固化	solidifies
固化的	solidified
固定	belay
固定	immobilization
固定剂	fixature
固定剂	fixative
固定地	fixedly
固定性	fixity
固定性	fixedness
固定物	fixture
固定物	holdfast
固定电话	landline
固定的	fixed
固定的	belayed
固定螺钉	setscrew
固定装置	fixtures
固态硬盘	SSD
固态硬盘	solid-state drive
固执	stubborn
固执	obstinacy
固执地	stubbornly
固执地	inflexibly
固执己见	opinionated
固执的	mulish
固执的	froward
固有	inhere
固有	inhesion
固有地	inherently
固有性	inherence
固有的	inherent
固特异	Goodyear
固着	fixation
固颌鱼	plectognath
国会	congress
国会地	congressionally
国会大厦	capitol
国会大厦	Reichstag
国会的	congressional
国内	domestic
国内地	domestically
国内生产总值	GDP
国内生产总值	Gross Domestic Product
国外	abroad
国家	nation
国家	country
国家主义	etatism
国家主义	statism
国家地位	nationhood
国家的	national
国库	exchequer
国库	treasuries
国有化	nationalize
国有化	nationalise
国民	nationals
国王	king
国王般的	kingly
国税局	IRS
国籍	nationality
国籍	nationalities
国际	international
国际专线	IPLC
国际专线	International Private Leased Circuit
国际主义	internationalism
国际主义者	internationalist
国际以太网专线	International Ethernet Private Line
国际刑警组织	Interpol
国际化	in
国际化	internationalise
国际商业机器公司	International Business Machines
国际商会	icc
国际地	internationally
国际性	internationality
国际数据公司	International Data Corporation
国际日期格式	ISO
国际标准书号	ISBN
国际标准书号	International Standard Book Number
国际标准刊号	ISSN
国际标准化组织	ISO
国际标准连续出版物编号	International Standard Serial Number
国际象棋	chess
国际货币基金组织	IMF
国际货币基金组织	International Monetary Fund
国际足联	FIFA
国际通信卫星	Intelsat
国际音标	IPA
图书买卖	bibliopoly
图书管理员	librarian
图书胶片	bibliofilm
图书馆	library
图书馆	libraries
图像	img
图像	eicon
图像参考	imref
图像处理软件	Adobe Photoshop
图像学	iconography
图像学的	iconographic
图像格式	JPG
图像格式	tga
图像生成	Imagen
图元文件	wmf
图兰的	turanian
图勒	Thule
图卢兹	Toulouse
图坦卡蒙	Tutankhamen
图坦卡蒙	Tutenkhamon
图床	imgur
图形	graphic
图形	graphical
图形交换格式	Graphics Interchange Format
图形化	graphically
图形处理器	GPU
图形处理器	Graphics Processing Unit
图形学会议	SIGGRAPH
图形接口	gdi
图形接口	DirectX
图形界面	GUI
图形界面	gui
图文广播	Teletext
图文电视	Teletex
图标	icon
图案	pattern
图案化	patterning
图森	Tucson
图灵	Turing
图片	pix
图片	pic
图片压缩	TinyPNG
图片查看	PictureView
图瓦卢	tuvalu
图画地	pictorially
图画的	pictorial
图章	signet
图米	Toomey
图纸	drawings
图腾	totem
图腾崇拜	totemism
图腾崇拜的	totemistic
图腾崇拜者	totemist
图腾的	totemic
图表	graph
图表	chart
图表分析师	chartist
图表库	ECharts
图表库	Apache ECharts
图表绘制	diagramming
图表绘制者	diagrammer
图解化	diagrammatise
图解化	diagrammatize
图解地	diagrammatically
图解的	diagrammatic
图钉	pushpin
图钉	thumbtack
圃鹀	ortolan
圆叶葡萄	muscadine
圆周率	pi
圆圈	circle
圆场棒球	stoolball
圆度	roundness
圆弧规	arcograph
圆形	round
圆形	rondure
圆形剧场	amphitheatre
圆形剧场	amphitheater
圆形地	circularly
圆形大厅	rotunda
圆形屋	roundhouse
圆形山谷	cirque
圆形的	circular
圆柱体	cylinder
圆柱形的	cylindrical
圆桌会议	roundtable
圆润	rounded
圆润度	roundedness
圆滑	tact
圆滑的	tactful
圆滑者	rounder
圆点	polkadot
圆珠笔	biro
圆珠笔	ballpoint
圆盾	buckler
圆胖	rotund
圆胖	rotundity
圆规	compasses
圆锥体	conoid
圆锥帐篷	tepee
圆锥曲线	conics
圆锥的	conic
圆锥花序	panicle
圆锥花序的	paniculate
圆顶	cupola
圆顶的	domed
圆顶礼帽	billycock
圆颅党	roundhead
圆鳍雅罗鱼	chub
圆鳍鱼	lumpfish
圆齿	crenature
圆齿状	crenation
圈	hoop
圈出	circled
圈子	circles
土制的	earthen
土匪	dacoit
土地	land
土地	Terre
土地所有权	landholding
土地所有权	landownership
土地的	praedial
土块	clod
土块的	cloddy
土坯	adobe
土堆	mound
土壤	soil
土壤学	pedology
土壤的	edaphic
土库曼	turkmen
土库曼斯坦	turkmenistan
土拨鼠	marmot
土拨鼠	woodchuck
土星	Saturn
土气的	cloddish
土狼	aardwolf
土耳其人	turk
土耳其化	Turkize
土耳其帽	tarboosh
土耳其政府	Porte
土耳其毡帽	fez
土耳其的	Turkish
土著	indigene
土著	aborigine
土著性	autochthonism
土著的	aboriginal
土著的	autochthonal
土豆	spud
土豆	Spuds
土豆兄弟	brotato
土豚	aardvark
圣	San
圣	Sao
圣人	saint
圣代	sundae
圣体容器	pyx
圣俸	benefice
圣公会教徒	Episcopalian
圣化	sanctification
圣器保管员	sacrist
圣器保管员	sacristan
圣器室	vestry
圣器室	sacristy
圣地	shrine
圣地亚哥	Santiago
圣坛	chancel
圣墓	marabout
圣安德鲁十字	saltire
圣带	maniple
圣幕	tabernacles
圣徒	Santo
圣徒	saints
圣徒传作者	hagiographer
圣徒传记	hagiography
圣徒传记集	hagiology
圣徒历	menology
圣徒身份	sainthood
圣战	jihad
圣战	crusade
圣所	bethel
圣所	sanctum
圣杯	grail
圣杯	chalice
圣歌	anthem
圣歌	cantus
圣殿骑士	templar
圣母	Notre
圣母	Madonna
圣母崇拜	mariolatry
圣油	chrism
圣洁的	saintly
圣洁的	saintlike
圣灵降临节	whitsunday
圣物	churinga
圣物盒	reliquary
圣甲虫	scarab
圣痕	stigmata
圣礼	Sac
圣礼	sacrament
圣经	Bible
圣经	bibles
圣经地	biblically
圣经的	biblical
圣经的	scriptural
圣职授予权	advowson
圣诗	psalm
圣诞	Noel
圣诞	xmas
圣诞季	yuletide
圣诞树	Tannenbaum
圣诞老人	Santa
圣诞节	yule
圣诞节	Christmas
圣雄	mahatma
圣餐	Eucharist
圣餐盘	paten
圣马丁节	martinmas
圣骑士	paladin
在	in
在	on
在...上	atop
在...下	under
在...之中	amid
在...之中	amidst
在...之前	ere
在...内	within
在…范围内	insofar
在上	whereon
在下文	thereinafter
在下方	beneath
在中间	betwixt
在之前	afore
在之前	before
在其中	wherein
在室内	indoors
在床上	abed
在意	reck
在意	minding
在期间	during
在此	herein
在线	online
在线证书状态协议	Online Certificate Status Protocol
在船上	aboard
在船中部	amidships
在船尾	abaft
在那之前	theretofore
在野外	afield
在高处	aloft
圩田	polder
圭亚那	Guiana
圭亚那	Guyana
圭尔夫	Guelph
地	gnd
地上	overground
地上	aboveground
地下	subsurface
地下	underground
地下三层	subcellar
地下二层	subbasement
地下墓穴	catacomb
地下室	basement
地下室	undercroft
地下室餐厅	rathskeller
地下水	groundwater
地下的	subterranean
地下通道	underpass
地下酒吧	speakeasy
地中海	Mediterranean
地中海化	Mediterraneanize
地中海化	Mediterraneanization
地主	laird
地主	landowner
地主阶级	landocracy
地产	estate
地产群	estates
地体	terrane
地区	locality
地区	localities
地名学	toponymy
地名索引	gazetteer
地图	map
地图应用	OsmAnd
地图查询	MapQuest
地图集	atlas
地址	addr
地址	address
地址印刷机	Addressograph
地垒	horst
地基	foundations
地壳	earthcrust
地壳均衡	isostasy
地壳的	crustal
地壳运动	diastrophism
地层	strata
地层	stratum
地层学	stratigraphy
地峡	isthmus
地幔	mantle
地幔岩	mantlerock
地平线	horizon
地形	terrain
地形	topography
地形上	topographically
地形学家	topographer
地形的	topographic
地形的	topographical
地形集	terrains
地役权	easement
地心的	geocentric
地拉那	Tirana
地方	place
地方主义	localism
地方主义	provincialism
地方性的	endemic
地方法官	magistrate
地方法规	byelaw
地方自治局	zemstvo
地方行政	magistracy
地暖	hypocaust
地月间的	cislunar
地松鼠	spermophile
地板	floor
地标	landmark
地植物学	geobotany
地榆	burnet
地毯	rug
地毯	carpet
地点	situ
地点	site
地热地	geothermally
地热学	geothermics
地热的	geothermal
地牢	dungeon
地牢	oubiette
地牢群	dungeons
地狱	hell
地狱	inferno
地狱之火	hellfire
地狱的	infernal
地狱般的	hellish
地狱般的地方	hellhole
地球	globe
地球	Terra
地球人	Terran
地球人	Earthman
地球化	terraform
地球化学	geochemical
地球化学	geochemistry
地球同步的	geosynchronous
地球同步轨道	GEO
地球物理学	geophysics
地球物理学家	geophysicist
地球物理的	geophysical
地球生物	terrestrials
地球的	telluric
地球的	terrestrial
地球科学	geoscience
地球空间	geospace
地球静止的	geostationary
地理	geo
地理IP	GeoIP
地理上	geographically
地理信息系统	GIS
地理学	geography
地理学家	geographer
地理的	geographic
地理的	geographical
地界	abuttals
地磁	geomagnetism
地磁的	geomagnetic
地窖	crypt
地窖	cellar
地精	goblin
地缘政治	geopolitics
地衣	lichen
地衣状的	lichenous
地衣紫	cudbear
地貌	landform
地貌学	physiography
地貌学	geomorphology
地貌学家	physiographer
地质上	geologically
地质学	geology
地质学家	geologist
地质的	geologic
地质的	geological
地道地	idiomatically
地道的	idiomatic
地钱	liverwort
地铁	metro
地铁	subway
地震	seism
地震	temblor
地震仪	tromometer
地震仪	seismograph
地震图	seismogram
地震学	seismology
地震学家	seismologist
地震学的	seismological
地震检波器	geophone
地震的	seismic
地震计	seismometer
地面	ground
地鼠	gopher
场合	occasion
场合	occasionings
场地	venue
场地	grounds
场所	locale
场所	premises
场景	scene
均分继承	gavelkind
均匀	evenness
均匀地	evenly
均匀地	uniformly
均变论	uniformitarianism
均衡	equalizes
均衡	equalizing
均衡器	equaliser
均衡器	equalizer
均衡的	equalized
均衡的	isostatic
均质化	homogenize
坎伯兰	Cumberland
坎卡基	Kankakee
坎宁安	Cunningham
坎布里亚	cumbria
坎帕尼亚	campagna
坎帕拉	Kampala
坎波	campo
坎特伯雷	Canterbury
坎纳达语	Kannada
坎耶	kanye
坎菲尔德	Canfield
坎蒂莱那	cantilena
坎贝尔	Campbell
坎贝尔斯波特	Campbellsport
坎迪斯	Candace
坏	bad
坏名声	disrepute
坏死	necrosis
坏死的	necrotic
坏疽	gangrene
坏疽	sphacelate
坏疽的	gangrenous
坏血病	scurvy
坏血病的	scorbutic
坐	sat
坐	sit
坐标	ordinates
坐标	coordinates
坐禅	zazen
坐立不安	fidget
坐脸	facesitting
坐骨的	sciatic
坐骨神经痛	sciatica
坑	pit
坑洞	pits
坑洞	pothole
块	lump
块	piece
块状的	blocky
块茎	tuber
块茎状的	tuberous
坚不可摧	impregnable
坚决	adamant
坚决	resoluteness
坚决地	adamantly
坚决地	resolutely
坚决的	resolute
坚固	tuff
坚固	solid
坚固地	sturdily
坚固性	solidity
坚固的	sturdy
坚定	firmness
坚定	unshaken
坚定不移	unswerving
坚定地	firmly
坚定地	stoutly
坚定的	firmed
坚定的	staunch
坚实	solidness
坚忍的	stoic
坚持	insist
坚持	holdout
坚持地	persistently
坚持的	persistent
坚持者	stayer
坚持者	persister
坚果	nut
坚果	nutten
坚果壳	nutshell
坚果签	nutpick
坚硬	flintiness
坚硬	adamantine
坚硬地	flintily
坚硬的	hard
坚硬的	flinty
坚韧	wiry
坚韧	wiriness
坚韧地	wirily
坚韧的	gritty
坚韧的	leathery
坟墓	tomb
坟墓	sepulcher
坠子	sinker
坠石	dropstone
坡	poe
坡印廷	Poynting
坡莫合金	permalloy
坦佩	tempe
坦克	tank
坦噶尼喀	Tanganyika
坦塔罗斯	Tantalus
坦尼	Tenney
坦帕	Tampa
坦慕尼	Tammany
坦慕尼化	Tammanyize
坦普尔曼	Templeman
坦普尔顿	Templeton
坦桑尼亚	Tanzania
坦率	candor
坦率	candour
坦率地	frankly
坦率地	candidly
坦率的	frank
坦率的	candid
坦白	confess
坦白	confession
坦白的	confessed
坩埚	crucible
垂体	hypophysis
垂头丧气的	crestfallen
垂死	dying
垂死的	moribund
垂片	lappet
垂直	apeak
垂直	plumb
垂直地	perpendicularly
垂直性	verticality
垂直性	verticalness
垂直的	vertical
垂直线	perpendiculars
垂肉	dewlap
垂饰	pendant
垃圾	junk
垃圾	trash
垃圾场	dumps
垃圾堆	midden
垃圾填埋场	landfill
垃圾桶	ashcan
垃圾桶	dustbin
垃圾的	rubbishy
垃圾般的	junky
垃圾车	dumpcart
垃圾进垃圾出	gigo
垃圾邮件	spam
垃圾邮件发送者	spammers
垄断	monopoly
垄断	monopolize
垄断的	monopolized
垄断的	monopolistic
垄断者	monopolist
垄断者	monopoliser
型锻	swage
垒手	baseman
垒球	softball
垫	pad
垫圈	gasket
垫圈	washer
垫子	mat
垫子	pads
垫片	shim
垫片	spacer
垫脚石	stepstone
垮台	downfall
垮台	downfallen
垮掉派	beatnik
埃	angstrom
埃俄罗斯	Aeolus
埃克塔克罗姆	Ektachrome
埃克塞特	Exeter
埃克尔斯	Eccles
埃克斯	Akers
埃克斯特伦	Ekstrom
埃克森	Exxon
埃利奥特	Elliott
埃利斯	Ellis
埃加斯特	egast
埃及	Egypt
埃及人	Egyptians
埃及化	Egyptizes
埃及化	Egyptianization
埃及学	Egyptology
埃及的	Egyptian
埃塞俄比亚	Ethiopia
埃塞俄比亚人	Ethiopians
埃塞俄比亚的	ethiopian
埃塞克斯	Essex
埃塞尔	Ethel
埃奇伍德	Edgewood
埃奇沃特	Edgewater
埃尔伍德	Ellwood
埃尔克哈特	Elkhart
埃尔利希	Ehrlich
埃尔南德斯	Hernandez
埃尔姆斯福德	Elmsford
埃尔姆赫斯特	Elmhurst
埃尔文的	elvan
埃尔斯沃思	Ellsworth
埃尔朗	Erlang
埃尔温	Erwin
埃尔登	Eldon
埃尔米特	Hermite
埃尔米特的	hermitian
埃尔维斯	Elvis
埃尔罗伊	Elroy
埃尔西	Elsie
埃尔西诺	Elsinore
埃尔迈拉	Elmira
埃尔金	Elgin
埃尔顿	Elton
埃尔默	Elmer
埃弗哈特	Everhart
埃弗里特	Everett
埃德	Ed
埃德加	Edgar
埃德娜	Edna
埃德温	Edwin
埃德温娜	Edwina
埃德蒙	Edmund
埃德蒙兹	Edmonds
埃德蒙森	Edmondson
埃德蒙顿	Edmonton
埃拉	Ella
埃拉托	Erato
埃拉托斯特尼	Eratosthenes
埃文	evan
埃文斯	Evans
埃文斯维尔	Evansville
埃文斯顿	Evanston
埃文森	Evensen
埃斯库多	escudo
埃斯库罗斯	Aeschylus
埃斯波西托	Esposito
埃斯特拉	Estella
埃斯蒂斯	Estes
埃斯马克	Esmark
埃普瑟姆	Epsom
埃本	Eben
埃杰顿	Edgerton
埃森	Essen
埃森化	Essenize
埃洛伊丝	Eloise
埃洛希姆	elohim
埃涅阿斯	Aeneas
埃涅阿斯纪	Aeneid
埃特纳火山	etna
埃琳娜	Elena
埃米利奥	Emilio
埃米尔	emir
埃米尔	Emil
埃米特	Emmett
埃米纳姆	eminem
埃罗尔	Errol
埃莉诺	Elinor
埃莉诺	Eleanor
埃菲尔	Eiffel
埃达	edda
埃迪	Eddie
埃里克	Eric
埃里克	Erik
埃里克森	Erikson
埃里克森	Erickson
埃里希	Erich
埃里森	Ellison
埃隆	elon
埃默里	Emory
埋	bury
埋头孔	countersink
埋葬	inter
埋葬	entomb
埋葬者	burier
城垛	merlon
城垛	battlement
城堡	castle
城堡	alcazar
城堡主	castellan
城堡主楼	donjon
城堡状的	castellated
城市	city
城市	cinity
城市化	citied
城市化	citify
城市学家	urbanologist
城市搜索	citysearch
城市景观	cityscape
城市的	urban
城邦	polis
城镇	town
城际	intercity
城际	interurban
域名便宜	NameCheap
域名查询	whois
域名注册商	GoDaddy
域名系统	DNS
域名系统	Domain Name System
域名系统安全扩展	DNSSEC
域名西洛	NameSilo
培养	foster
培养	nurture
培养中	fostering
培养皿	petri
培根	bacon
培育的	bred
基于	based
基于	basing
基于QUIC的DNS	DoQ
基于QUIC的DNS	DNS over QUIC
基于中	predicating
基于时间的一次性密码	Time-based One-Time Password
基克拉泽斯	Cyclades
基准	benchmark
基准测试	benchmarking
基准的	fiducial
基列	Gilead
基加利	Kigali
基南	Keenan
基卡普	Kickapoo
基名	basename
基因	gen
基因	gene
基因型	genotype
基因库	GenBank
基因组	genome
基因组学	genomics
基因组的	genomic
基多	Quito
基奇纳	kitchener
基奥瓦	Kiowa
基尔	Kiel
基尔布鲁	Killebrew
基尔戈	Kilgore
基尔霍夫	Kirchoff
基层	grassroots
基岩	bedrock
基布兹	kibbutz
基希纳	Kirchner
基带	baseband
基库尤	Kikuyu
基底	substrate
基底的	basilar
基座	pedestal
基弗	Kieffer
基德	Kidde
基德明斯特	kidderminster
基思	Keith
基数	radix
基数	cardinality
基数性	cardinalities
基本上	basically
基本地	cardinally
基本的	Basic
基本的	elemental
基本输入输出系统	BIOS
基本输入输出系统	Basic Input/Output System
基根	Keegan
基沃尼	Kewaunee
基沃斯库姆	Kewaskum
基洛夫	Kirov
基灵利	killingly
基点	bp
基瓦尼斯	Kiwanis
基督	Christ
基督城	christchurch
基督复临信徒	adventist
基督徒	Christian
基督教	Christianity
基督教化	Christianize
基督教化	christianise
基督教化者	Christianizer
基督教界	Christendom
基督教青年会	YMCA
基督的	christi
基督般的	Christlike
基石	cornerstone
基础	base
基础	basis
基础工作	spadework
基础工作	groundwork
基础的	basal
基础知识	abc
基础知识	ABC
基础设施	infrastructure
基米	Kimi
基线	baseline
基维特	Kiewit
基茨	kitts
基西米	kissimmee
基诺	keno
基诺沙	Kenosha
基辅	Kiev
基里巴斯	kiribati
基金持有人	fundholder
基顿	Keaton
堂	tong
堂亲	cousin
堂区委员	vestryman
堂区委员	churchwarden
堂吉诃德	Quixote
堂吉诃德式	Quixotism
堂守	verger
堆	pile
堆	heap
堆叠	stacking
堆叠的	stacked
堆垛机	stacker
堆栈	stacks
堆积	heaping
堆积的	piled
堆积的	heaped
堆肥	compost
堕胎	abortion
堕胎医生	abortionist
堕胎药	aborticide
堕落	depravity
堕落	depravation
堕落的	depraved
堕落者	reprobate
堡垒	fort
堡垒	bulwark
堤坝	dike
堤坝	Dyke
堤岸	embankment
堤道	causeway
堪培拉	Canberra
堪察加	Kamchatka
堪萨斯人	kansan
堪萨斯州	Kansas
堰	weir
堵塞	congest
堵塞	chinked
堵塞的	jammed
堵塞的	clogged
堺	sakai
塑料	plastic
塑造	shaping
塑造者	shaper
塔	tower
塔克	Tucker
塔列朗	Talleyrand
塔利亚	Thalia
塔利班	taliban
塔勒	thaler
塔吉克斯坦	tajikistan
塔夫脱	Taft
塔尔博特	Talbot
塔尔萨	Tulsa
