安全	aq
非礼勿动	flwd
翻脸无情	flwq
父老兄弟	flxd
放浪形骸	flxh
父老乡亲	flxq
风流潇洒	flxs
扶老携幼	flxy
翻了一番	flyf
弗洛伊德	flyd
风流韵事	flyu
风流云散	flys
飞龙在天	flzt
锋芒毕露	fmbl
锋芒逼人	fmbr
分秒必争	fmbv
粉墨登场	fmdi
放马过来	fmgl
放马后炮	fmhp
反目成仇	fmii
反面教材	fmjc
凤毛麟角	fmlj
风马牛不相及	fmnj
负面情绪	fmqx
风靡全球	fmqq
反面人物	fmrw
锋芒所向	fmsx
防民之口	fmvk
发明专利	fmvl
防民之口，甚于防川	fmvi
伐毛洗髓	fmxs
风靡一时	fmyu
负面因素	fmys
负面影响	fmyx
负面作用	fmzy
逢年过节	fngj
飞鸟尽良弓藏	fnjc
烦恼皆由强出头	fnjt
非你莫属	fnmu
分内之事	fnvu
放你一马	fnym
奉陪到底	fpdd
返璞归真	fpgv
风平浪静	fplj
非去不可	fqbk
夫妻本是同林鸟	fqbn
反其道而行	fqdx
反其道而行之	fqdv
非亲非故	fqfg
饭前饭后	fqfh
夫妻肺片	fqfp
富强发达	fqfd
分期付款	fqfk
反清复明	fqfm
飞起来了	fqll
夫妻双双	fquu
焚琴煮鹤	fqvh
奋起直追	fqvv
风气之先	fqvx
废弃物	fqw
废寝忘食	fqwu
风情万种	fqwv
非请勿入	fqwr
非请勿进	fqwj
房前屋后	fqwh
风轻云淡	fqyd
夫妻一场	fqyi
飞起一脚	fqyj
风起云涌	fqyy
封妻荫子	fqyz
飞禽走兽	fqzu
怫然不悦	frby
凡人不可貌相	frbx
福如东海	frdh
辅仁大学	frdx
繁荣富强	frfq
幡然悔悟	frhw
繁荣昌盛	friu
妇孺皆知	frjv
肤如凝脂	frnv
夫荣妻贵	frqg
发人深省	frux
奉若神明	frum
发人深思	frus
妇人之仁	frvr
逢人只说三分话	frvh
防人之心不可无	frvw
幡然醒悟	frxw
怫然作色	frzs
放任自流	frzl
非死不可	fsbk
放松放松	fsfs
非死即伤	fsju
风俗人情	fsrq
发散思维	fssw
风俗习惯	fsxg
粪土不如	ftbr
赴汤蹈火	ftdh
肥头大耳	ftde
飞天遁地	ftdd
非同儿戏	ftex
非同凡响	ftfx
翻天覆地	ftfd
奉天承运	ftiy
分庭抗礼	ftkl
风土人情	ftrq
凡胎肉眼	ftry
风头正劲	ftvj
风头正盛	ftvu
焚天煮海	ftvh
佛头着粪	ftvf
风头无两	ftwl
风头无二	ftwe
非同寻常	ftxi
非同小可	ftxk
非同一般	ftyb
风调雨顺	ftyu
冯唐易老	ftyl
肥水不流外人田	fubt
翻山倒海	fudh
缚手缚脚	fufj
费时费力	fufl
放声歌唱	fugi
俯首甘为孺子牛	fugn
发生关系	fugx
风声鹤唳	fuhl
防暑降温	fujw
愤世嫉俗	fujs
俯拾皆是	fuju
丰神俊朗	fujl
乏善可陈	fuki
风水轮流转	fulv
覆水难收	funu
福寿齐天	fuqt
浮生若梦	furm
丰神如玉	fury
粉身碎骨	fusg
俯首帖耳	fute
风生水起	fuuq
飞上枝头	fuvt
福寿无疆	fuwj
翻手为云，覆手为雨	fuwy
翻山越岭	fuyl
风霜雨雪	fuyx
犯上作乱	fuzl
风烛残年	fvcn
付诸东流	fvdl
非政府组织	fvfv
负债累累	fvll
负重前行	fvqx
反治其身	fvqu
放之四海而皆准	fvsv
纷至沓来	fvtl
付诸实践	fvuj
方针政策	fvvc
负重致远	fvvy
复制粘贴	fvvt
发展中国家	fvvj
风烛之年	fvvn
风中之烛	fvvv
福至心灵	fvxl
付诸行动	fvxd
附赘悬疣	fvxy
服装鞋帽	fvxm
反之亦然	fvyr
付之一炬	fvyj
粉妆玉砌	fvyq
粉妆玉琢	fvyv
佛争一炷香	fvyx
父债子还	fvzh
飞针走线	fvzx
分文不取	fwbq
分文不值	fwbv
防卫过当	fwgd
奉为圭臬	fwgn
法网恢恢	fwhh
法外开恩	fwke
奉为楷模	fwkm
废物利用	fwly
反误了卿卿性命	fwlm
服务器	fwq
繁文缛节	fwrj
方为人上人	fwrr
方外之人	fwvr
服务性	fwx
非我族类	fwzl
非我族类，其心必异	fwzy
风闻奏事	fwzu
芳心暗许	fxax
放心不下	fxbx
翻箱倒柜	fxdg
繁星点点	fxdd
负心多是读书人	fxdr
拂袖而去	fxeq
复习复习	fxfx
费心费力	fxfl
福星高照	fxgv
风险共担	fxgd
逢凶化吉	fxhj
福兮祸所伏	fxhf
风雪交加	fxjj
负薪救火	fxjh
焚香礼拜	fxlb
浮想联翩	fxlp
焚香沐浴	fxmy
繁星满天	fxmt
赴险如夷	fxry
繁星似锦	fxsj
风险投资	fxtz
放下屠刀	fxtd
放下屠刀，立地成佛	fxtf
方兴未艾	fxwa
发现问题	fxwt
风萧萧兮易水寒	fxxh
风行一时	fxyu
抚心自问	fxzw
妇幼保健	fybj
风云变幻	fybh
反应不过来	fybl
分一杯羹	fybg
风雨不透	fybt
浮云蔽日	fybr
浮一大白	fydb
奋勇当先	fydx
蜂拥而至	fyev
蜂拥而入	fyer
蜂拥而来	fyel
蜂拥而上	fyeu
翻云覆雨	fyfy
反应过来	fygl
发扬光大	fygd
蜉蝣撼大树	fyhu
富有成效	fyix
风云际会	fyjh
风雨兼程	fyji
风雨交加	fyjj
佛要金装	fyjv
幅员辽阔	fylk
敷衍了事	fylu
风雨飘摇	fypy
风雨飘零	fypl
非一日之寒	fyrh
风云人物	fyrw
风雨如磐	fyrp
非一日之功	fyrg
匪夷所思	fyss
飞也似的	fysd
敷衍塞责	fysz
烽烟四起	fysq
风雨同舟	fytv
风云突变	fytb
腹有诗书气自华	fyuh
繁衍生息	fyux
俯仰生姿	fyuz
浮游生物	fyuw
扶摇直上	fyvu
俯仰之间	fyvj
风雨无阻	fywz
反以为荣	fywr
风月无边	fywb
负隅顽抗	fywk
扶摇万里	fywl
浮语虚辞	fyxc
反咬一口	fyyk
风韵犹存	fyyc
飞檐走壁	fyzb
丰衣足食	fyzu
放纵不羁	fzbj
烦躁不安	fzba
烦躁不已	fzby
否则的话	fzdh
发自肺腑	fzff
犯罪分子	fzfz
奉子成婚	fzih
风姿绰约	fziy
富则兼济天下	fzjx
犯罪前科	fzqk
负责人	fzr
发自内心	fznx
富在深山有远亲	fzuq
放在心上	fzxu
佛祖心中留	fzxl
放在眼里	fzyl
功能	gn
过程	gi
根本	gb
过去	gq
沟通	gt
公平	gp
干嘛	gm
公安分局	gafj
敢爱敢恨	gagh
高矮胖瘦	gapu
各安天命	gatm
苟安一隅	gayy
高傲自大	gazd
古巴比伦	gbbl
敢不从命	gbcm
寡不敌众	gbdv
各奔东西	gbdx
广播电台	gbdt
功不抵过	gbdg
概不负责	gbfz
顾不过来	gbgl
高不高兴	gbgx
哥本哈根	gbhg
敢把皇帝拉下马	gbhm
功败垂成	gbii
高不成低不就	gbij
宫保鸡丁	gbjd
高不可攀	gbkp
功不可没	gbkm
更不可能	gbkn
国不可一日无君	gbkj
个把礼拜	gblb
各部门	gbm
官逼民反	gbmf
固本培元	gbpy
果不其然	gbqr
搞不清楚	gbqi
公报私仇	gbsi
跟不上	gbu
个把钟头	gbvt
官卑职小	gbvx
管鲍之交	gbvj
高标准严要求	gbvq
胳膊肘往外拐	gbvg
个把小时	gbxu
个把星期	gbxq
鬼不像鬼	gbxg
甘拜下风	gbxf
各不相让	gbxr
各不相同	gbxt
改变现状	gbxv
供不应求	gbyq
故布疑阵	gbyv
故步自封	gbzf
刚愎自用	gbzy
根本原因	gbyy
更不用说	gbyu
搞错了	gcl
高才生	gcu
顾此失彼	gcub
过从甚密	gcum
光彩照人	gcvr
改编	gdb
高低不平	gdbp
感动不已	gdby
狗胆包天	gdbt
狗都不如	gdbr
搞东搞西	gdgx
高低贵贱	gdgj
更待何时	gdhu
该当何罪	gdhz
割地称臣	gdii
故地重游	gdiy
耕读传家	gdij
高等教育	gdjy
共渡难关	gdng
割地赔款	gdpk
各得其所	gdqs
高低起伏	gdqf
跟得上	gdu
古典主义	gdvy
扛鼎之作	gdvz
功德无量	gdwl
古典文学	gdwx
各打五十大板	gdwb
肝胆相照	gdxv
古道西风瘦马	gdxm
功德圆满	gdym
供大于求	gdyq
高等院校	gdyx
古典音乐	gdyy
鬼点子	gdz
公道自在人心	gdzx
广电总局	gdzj
改恶从善	gecu
感恩戴德	gedd
高尔夫球	gefq
孤儿寡妇	gegf
孤儿寡母	gegm
广而告之	gegv
过而能改	geng
感恩图报	getb
公而忘私	gews
改恶向善	gexu
恭而有礼	geyl
功夫不负有心人	gfbr
高分辨率	gfbl
股份公司	gfgs
搞风搞雨	gfgy
苟富贵，勿相忘	gfgw
光风霁月	gfjy
高风峻节	gfjj
搞反了	gfl
高风亮节	gflj
国富民强	gfmq
鬼斧神工	gfug
刮风下雨	gfxy
官复原职	gfyv
股份有限公司	gfys
孤芳自赏	gfzu
国防大学	gfdx
格格不入	ggbr
亘古不变	ggbb
亘古不灭	ggbm
各个部分	ggbf
干干脆脆	ggcc
公共厕所	ggcs
孤孤单单	ggdd
盖棺定论	ggdl
革故鼎新	ggdx
滚滚而来	ggel
公共关系	gggx
高高挂起	gggq
功高盖世	gggu
古古怪怪	gggg
高官厚禄	gghl
滚滚红尘	gghi
公共场所	ggis
改革创新	ggix
归根结底	ggjd
干干净净	ggjj
各个击破	ggjp
公共机构	ggjg
关关雎鸠，在河之洲。	ggjv
改革开放	ggkf
光怪陆离	ggll
各个领域	ggly
刮骨疗毒	ggld
滚瓜烂熟	gglu
关公面前耍大刀	ggmd
鼓鼓囊囊	ggnn
公共汽车	ggqi
骨骼清奇	ggqq
歌功颂德	ggsd
鬼鬼祟祟	ggss
光杆司令	ggsl
公共事业	gguy
公共事务	gguw
过关斩将	ggvj
工工整整	ggvv
呱呱坠地	ggvd
公共卫生	ggwu
亘古未有	ggwy
官官相护	ggxh
高官显爵	ggxj
功过相抵	ggxd
高高兴兴	ggxx
耿耿于怀	ggyh
供过于求	ggyq
骨鲠在喉	ggzh
高高在上	ggzu
改过自新	ggzx
高干子弟	ggzd
公共资源	ggzy
关怀备至	ghbv
干活不累	ghbl
光辉灿烂	ghcl
共和国	ghg
各怀鬼胎	ghgt
各行各业	ghgy
过河拆桥	ghiq
更何况是	ghku
改换门庭	ghmt
蛊惑人心	ghrx
隔行如隔山	ghru
各花入各眼	ghry
勾魂摄魄	ghup
恭贺新禧	ghxx
孤魂野鬼	ghyg
光合作用	ghzy
攻城拔寨	gibv
高处不胜寒	gibh
肝肠寸断	gicd
高潮迭起	gidq
共产党员	gidy
观察观察	gigi
管吃管住	gigv
改朝换代	gihd
觥筹交错	gijc
国仇家恨	gijh
各持己见	gijj
攻城略地	gild
干柴烈火	gilh
刚出狼窝，又入虎口	gilk
贯彻落实	gilu
功成名就	gimj
鼓唇弄舌	ginu
功成身退	giut
贯彻执行	givx
共产主义	givy
高出一筹	giyi
国家安全局	gjaj
感觉不到	gjbd
感觉不错	gjbc
感激不尽	gjbj
国将不国	gjbg
恭敬不如从命	gjbm
国家标准	gjbv
诡计多端	gjdd
国家栋梁	gjdl
国家大事	gjdu
勾肩搭背	gjdb
孤军奋战	gjfv
各家各户	gjgh
各就各位	gjgw
国际关系	gjgx
高举高打	gjgd
钢筋混凝土	gjht
公交车	gji
干劲冲天	gjit
公积金	gjj
国际金融	gjjr
国家机器	gjjq
国家机关	gjjg
攻坚克难	gjkn
感觉良好	gjlh
干净利索	gjls
国家民族	gjmz
国计民生	gjmu
纲举目张	gjmv
国进民退	gjmt
国际贸易	gjmy
攻坚破锐	gjpr
各就其位	gjqw
各尽其职	gjqv
甘居人后	gjrh
拱肩缩背	gjsb
各尽所能	gjsn
管见所及	gjsj
感激涕零	gjtl
狗急跳墙	gjtq
各具特色	gjts
赶尽杀绝	gjuj
孤军深入	gjur
国际事务	gjuw
广结善缘	gjuy
钢筋水泥	gjun
古今中外	gjvw
国际主义	gjvy
国家主席	gjvx
国际知名	gjvm
过江之鲫	gjvj
国际舞台	gjwt
古井无波	gjwb
国际形势	gjxu
更进一步	gjyb
刚极易折	gjyv
关键字	gjz
孤军作战	gjzv
国际资本	gjzb
高开低走	gkdz
高开高走	gkgz
公开场合	gkih
光可鉴人	gkjr
孤苦伶仃	gkld
管窥蠡测	gklc
鬼哭狼嚎	gklh
广开门路	gkml
刚开始	gku
鬼哭神嚎	gkuh
共克时艰	gkuj
感慨万千	gkwq
孤苦无依	gkwy
甘苦与共	gkyg
功亏一篑	gkyk
广开言路	gkyl
搞了半天	glbt
哥伦比亚	glby
给脸不要脸	glbl
高楼大厦	gldu
各领风骚	glfs
古里古怪	glgg
改来改去	glgq
孤陋寡闻	glgw
顾虑重重	glii
古灵精怪	gljg
格鲁吉亚	gljy
怪力乱神	gllu
过两年	gln
格林纳达	glnd
更阑人静	glrj
古来圣贤皆寂寞	glum
官僚主义	glvy
过了这个村就没这个店	glvd
过了这个村就没这个店了	glvl
孤立无援	glwy
格林威治	glwv
管理员	gly
膏粱子弟	glzd
国立大学	gldx
过目不忘	gmbw
关门弟子	gmdz
关门打狗	gmdg
关门大吉	gmdj
沽名钓誉	gmdy
关门放狗	gmfg
怪模怪样	gmgy
各门各派	gmgp
干没干过	gmgg
规模化	gmh
改名换姓	gmhx
灌迷魂汤	gmht
过目成诵	gmis
国民经济	gmjj
光明磊落	gmll
概莫能外	gmnw
顾名思义	gmsy
光芒四射	gmsu
高锰酸钾	gmsj
冠冕堂皇	gmth
革命尚未成功	gmug
国民收入	gmur
国民生产总值	gmuv
革命尚未成功，同志仍需努力	gmul
光明正大	gmvd
国民政府	gmvf
关门捉贼	gmvz
光芒万丈	gmwv
广袤无边	gmwb
广袤无垠	gmwy
过敏性	gmx
刮目相看	gmxk
刮目相待	gmxd
鬼迷心窍	gmxq
规模效益	gmxy
弓马娴熟	gmxu
哥们义气	gmyq
敢怒不敢言	gnby
国难当头	gndt
敢怒而不敢言	gney
过年过节	gngj
孤男寡女	gngn
敢怒敢言	gngy
管宁割席	gngx
肝脑涂地	gntd
国内市场	gnui
国内生产总值	gnuv
故弄玄虚	gnxx
狗娘养的	gnyd
狗屁不通	gpbt
各凭本事	gpbu
高攀不起	gpbq
狗屁倒灶	gpdz
割袍断义	gpdy
高抛低吸	gpdx
狗皮膏药	gpgy
公平交易	gpjy
公平竞争	gpjv
国破家亡	gpjw
高朋满座	gpmz
顾盼生姿	gpuz
公平正义	gpvy
公平无私	gpws
顾盼自雄	gpzx
顾前不顾后	gqbh
攻其不备	gqbb
顾全大局	gqdj
归去来兮	gqlx
各取所需	gqsx
各取所长	gqsi
公器私用	gqsy
共青团员	gqty
苟且偷生	gqtu
苟且偷安	gqta
关切之情	gqvq
苟且之心	gqvx
攻其无备	gqwb
苟全性命	gqxm
苟全性命于乱世	gqxu
感情用事	gqyu
改旗易帜	gqyv
攻其一点	gqyd
隔墙有耳	gqye
鼓起勇气	gqyq
过期作废	gqzf
个人爱好	grah
供认不讳	grbh
刚柔并济	grbj
果然不出所料	grbl
贵人多忘事	grdu
感人肺腑	grff
个人崇拜	grib
光荣传统	grit
骨软筋酥	grjs
固若金汤	grjt
工人阶级	grjj
骨肉离散	grls
个人利益	grly
个人认为	grrw
个人所得税	grsu
骨肉团圆	grty
个人主义	grvy
骨肉相残	grxc
刚柔相济	grxj
骨肉相连	grxl
个人习惯	grxg
高人一等	gryd
改容易貌	grym
个人意见	gryj
个人英雄	gryx
过日子	grz
各人自扫门前雪	grzx
个人自由	grzy
勾三搭四	gsds
高速发展	gsfv
公私分明	gsfm
古色古香	gsgx
各色各样	gsgy
隔三岔五	gsiw
公私两便	gslb
各司其职	gsqv
各色人等	gsrd
高耸入云	gsry
国色天香	gstx
公司职员	gsvy
公司员工	gsyg
高速增长	gszv
更谈不上	gtbu
顾头不顾尾	gtbw
感天动地	gtdd
故态复萌	gtfm
沟通沟通	gtgt
高抬贵手	gtgu
鬼头鬼脑	gtgn
改头换面	gthm
光天化日	gthr
光天化日之下	gthx
改天换地	gthd
钢铁长城	gtii
国土局	gtj
狗头军师	gtju
骨头架子	gtjz
高谈阔论	gtkl
瓜田李下	gtlx
共同利益	gtly
国泰民安	gtma
故土难离	gtnl
关塔那摩	gtnm
管他三七二十一	gtsy
龟兔赛跑	gtsp
光秃秃	gtt
高台跳水	gttu
感同身受	gtuu
共同市场	gtui
共同之处	gtvi
歌台舞榭	gtwx
共同语言	gtyy
沟通一下	gtyx
各退一步	gtyb
光说不练	gubl
过时不候	gubh
更上层楼	gucl
根深蒂固	gudg
瓜熟蒂落	gudl
隔山打牛	gudn
公事公办	gugb
各说各话	gugh
故事梗概	gugg
公说公有理	gugl
各式各样	gugy
怪声怪气	gugq
各抒己见	gujj
果实累累	gull
怪石嶙峋	gulx
高深莫测	gumc
骨瘦如柴	guri
拱手让人	gurr
高手如林	gurl
高手如云	gury
更是如此	gurc
攻守同盟	gutm
盖世太保	gutb
孤身只影	guvy
格杀勿论	guwl
拱手相让	guxr
更上一层楼	guyl
根深叶茂	guym
高山仰止	guyv
工商银行	guyh
刚正不阿	gvbe
广种薄收	gvbu
国之栋梁	gvdl
刚中带柔	gvdr
高枕而卧	gvew
归真返璞	gvfp
各种各样	gvgy
各找各妈	gvgm
咯吱咯吱	gvgv
公众场所	gvis
公众场合	gvih
固执己见	gvjj
管中窥豹	gvkb
根正苗红	gvmh
孤枕难眠	gvnm
甘之如饴	gvry
果真如此	gvrc
公众人物	gvrw
个中三味	gvsw
骨质疏松	gvus
规章制度	gvvd
股掌之上	gvvu
国之重器	gvvq
公正无私	gvws
高枕无忧	gvwy
关注一下	gvyx
各执一词	gvyc
孤注一掷	gvyv
各种原因	gvyy
个中滋味	gvzw
攻无不克	gwbk
过五关斩六将	gwgj
古往今来	gwjl
古为今用	gwjy
拐弯抹角	gwmj
锅碗瓢盆	gwpp
各为其主	gwqv
广为人知	gwrv
高危人群	gwrq
姑妄听之	gwtv
敢为天下先	gwtx
国外市场	gwui
歌舞升平	gwup
鼓舞士气	gwuq
购物中心	gwvx
格物致知	gwvv
狗尾续貂	gwxd
姑妄言之	gwyv
勾心斗角	gxdj
高姓大名	gxdm
恭喜发财	gxfc
关系匪浅	gxfq
恭喜恭喜	gxgx
改邪归正	gxgv
个性化	gxh
更新换代	gxhd
规行矩步	gxjb
孤行己见	gxjj
工薪阶层	gxjc
高新技术	gxju
更新了	gxl
高下立判	gxlp
光鲜亮丽	gxll
狗血淋头	gxlt
公序良俗	gxls
关系密切	gxmq
隔靴挠痒	gxny
狗血喷头	gxpt
各行其是	gxqu
甘心情愿	gxqy
姑息迁就	gxqj
感性认识	gxru
隔靴搔痒	gxsy
归心似箭	gxsj
管闲事	gxu
各显神通	gxut
古稀之年	gxvn
广西壮族自治区	gxvq
广西壮族	gxvz
各项指标	gxvb
攻心为上	gxwu
姑息养奸	gxyj
改弦易辙	gxyv
高薪养廉	gxyl
关心则乱	gxzl
过一遍	gyb
过意不去	gybq
过犹不及	gybj
苟延残喘	gyci
各有侧重	gycv
告一段落	gydl
公用电话	gydh
高原反应	gyfy
皈依佛门	gyfm
隔音符号	gyfh
各有各的	gygd
工业革命	gygm
各有各好	gygh
国有国法	gygf
官运亨通	gyht
鬼蜮伎俩	gyjl
狗眼看人	gykr
各有利弊	gylb
挂一漏万	gylw
光耀门楣	gymm
顾影弄姿	gynz
观音菩萨	gyps
各有千秋	gyqq
国有企业	gyqy
光阴荏苒	gyrr
各有所爱	gysa
各有所好	gysh
各有所长	gysi
光阴似箭	gysj
过一天算一天	gytt
挂羊头卖狗肉	gytr
工欲善其事	gyuu
工欲善其事，必先利其器	gyuq
更有甚者	gyuv
寡言少语	gyuy
光艳照人	gyvr
膏腴之地	gyvd
官样文章	gywv
工业文明	gywm
改一下	gyx
工于心计	gyxj
歌以咏志	gyyv
过眼云烟	gyyy
固有一死	gyys
赶鸭子上架	gyzj
顾影自怜	gyzl
工业大学	gydx
裹足不前	gzbq
赶早不赶晚	gzbw
工作报告	gzbg
工作单位	gzdw
功在当代	gzdd
敢作敢当	gzgd
故作高深	gzgu
敢作敢为	gzgw
鼓足干劲	gzgj
个子高高	gzgg
工作环境	gzhj
工作计划	gzjh
狗嘴里吐不出象牙	gzly
工作能力	gznl
各族人民	gzrm
工作人员	gzry
狗嘴吐不出象牙	gzty
工作态度	gztd
工作条件	gztj
工作室	gzu
工作时间	gzuj
鼓足士气	gzuq
故作镇定	gzvd
工作之余	gzvy
公子王孙	gzws
各自为政	gzwv
工作需要	gzxy
鼓足信心	gzxx
顾左右而言他	gzyt
鼓足勇气	gzyq
光宗耀祖	gzyz
挂在嘴边	gzzb
工作总结	gzzj
工作作风	gzzf
故作姿态	gzzt
湖南	hn
好处	hi
后面	hm
回去	hq
害怕	hp
何必	hb
后天	ht
和蔼可亲	hakq
后半部分	hbbf
后半辈子	hbbz
货不对板	hbdb
黑白颠倒	hbdd
毫不动摇	hbdy
含苞待放	hbdf
悔不当初	hbdi
祸不单行	hbdx
话不多说	hbdu
恨不得有条地缝钻进去	hbdq
黑白分明	hbfm
魂不附体	hbft
还本付息	hbfx
毫不费劲	hbfj
毫不费力	hbfl
互不干扰	hbgr
回不过神来	hbgl
会不会是	hbhu
好吧好吧	hbhb
毫不讳言	hbhy
画饼充饥	hbij
毫不迟疑	hbiy
花不出去	hbiq
虎豹豺狼	hbil
毫不介意	hbjy
祸不及家人	hbjr
缓不济急	hbjj
毫不夸张	hbkv
很不客气	hbkq
花不了	hbl
毫不利己	hblj
毫不理会	hblh
黑不溜秋	hblq
活蹦乱跳	hblt
互不理睬	hblc
胡编乱造	hblz
哈博罗内	hbln
回不去了	hbql
毫不起眼	hbqy
怀璧其罪	hbqz
好不容易	hbry
货比三家	hbsj
话不投机	hbtj
化悲痛为力量	hbtl
话不投机半句多	hbtd
虎不食儿	hbue
魂不守舍	hbuu
何不食肉糜	hbum
毫不示弱	hbur
还不知道	hbvd
还不至于	hbvy
缓兵之计	hbvj
虎贲之师	hbvu
悍不畏死	hbws
互不相容	hbxr
虎背熊腰	hbxy
互不相欠	hbxq
毫不相干	hbxg
毫不逊色	hbxs
红白喜事	hbxu
花边新闻	hbxw
狠不下心	hbxx
还不一定	hbyd
互不影响	hbyx
含苞欲放	hbyf
毫不犹豫	hbyy
毫不掩饰	hbyu
海不扬波	hbyb
还不足以	hbzy
慌不择路	hbzl
厚此薄彼	hcbb
怀才不遇	hcby
宏才大略	hcdl
祸从口出	hcki
花丛老手	hclu
祸从天降	hctj
获此殊荣	hcur
花草树木	hcum
何错之有	hcvy
荒诞不经	hdbj
虎毒不食子	hdbz
横刀夺爱	hdda
好大的面子	hddz
红得发紫	hdfz
划等号	hdh
或多或少	hdhu
忽大忽小	hdhx
很多很多	hdhd
何德何能	hdhn
黄道吉日	hdjr
豁达开朗	hdkl
好多了	hdl
皇帝轮流坐	hdlz
洪都拉斯	hdls
海底捞针	hdlv
横刀立马	hdlm
很多年	hdn
很多年前	hdnq
很多人	hdr
化敌为友	hdwy
画地为牢	hdwl
蝴蝶效应	hdxy
邯郸学步	hdxb
好大喜功	hdxg
黑灯瞎火	hdxh
厚德载物	hdzw
话到嘴边	hdzb
华东师范大学	hdux
惠而不费	hebf
含而不露	hebl
怙恶不悛	hebq
和而不同	hebt
花儿朵朵	hedd
皇恩浩荡	hehd
华尔街	hej
黑恶势力	heul
合二为一	hewy
赫尔辛基	hexj
华尔兹	hez
哈尔滨工业大学	hebx
豪放不羁	hfbj
寒风刺骨	hfcg
呼风唤雨	hfhy
鹤发鸡皮	hfjp
魂飞魄散	hfps
洪福齐天	hfqt
鹤发松姿	hfsz
魂飞天外	hftw
鹤发童颜	hfty
后发制人	hfvr
毫发无损	hfws
毫发无伤	hfwu
虎父无犬子	hfwz
化腐为奇	hfwq
后发先至	hfxv
和风细雨	hfxy
化腐朽为神奇	hfxq
灰飞烟灭	hfym
环肥燕瘦	hfyu
话锋一转	hfyv
哈佛大学	hfdx
汇丰银行	hfyh
厚古薄今	hgbj
后果不堪设想	hgbx
哈根达斯	hgds
回光返照	hgfv
化干戈为玉帛	hggb
换个话题	hght
忽高忽低	hghd
宏观经济	hgjj
黑咕隆咚	hgld
华冠丽服	hglf
红光满面	hgmm
缓过气来	hgql
回锅肉	hgr
回过头来	hgtl
回过头去	hgtq
宏观调控	hgtk
和光同尘	hgti
花果山	hgu
怀古伤今	hguj
湖光山色	hgus
回过神来	hgul
后顾之忧	hgvy
好高骛远	hgwy
欢歌笑语	hgxy
很感兴趣	hgxq
缓过一口气	hgyq
祸国殃民	hgym
好钢用在刀刃上	hgyu
后果自负	hgzf
悔过自新	hgzx
好果子吃	hgzi
还好吧	hhb
惶惶不安	hhba
好话不说二遍	hhbb
好坏不分	hhbf
含糊不清	hhbq
呵护备至	hhbv
好汉不提当年勇	hhby
好汉不吃眼前亏	hhbk
惶惶不可终日	hhbr
还好不是	hhbu
花花草草	hhcc
黄花菜都凉了	hhcl
呼呼大睡	hhdu
浩浩荡荡	hhdd
哈哈大笑	hhdx
黄花大闺女	hhdn
浑浑噩噩	hhee
哼哈二将	hhej
缓缓而行	hhex
黄花闺女	hhgn
花花公子	hhgz
画虎画皮难画骨	hhhg
恍恍惚惚	hhhh
好合好散	hhhs
呼和浩特	hhht
互惠互利	hhhl
昏昏沉沉	hhii
花花肠子	hhiz
宦海沉浮	hhif
行行出状元	hhiy
哼哼唧唧	hhjj
鸿鹄将至	hhjv
花花轿子人抬人	hhjr
合乎逻辑	hhlj
轰轰烈烈	hhll
后悔莫及	hhmj
换换脑子	hhnz
挥毫泼墨	hhpm
含糊其辞	hhqc
和和气气	hhqq
欢呼雀跃	hhqy
挥汗如雨	hhry
和好如初	hhri
后悔死了	hhsl
火花四溅	hhsj
挥毫洒墨	hhsm
花花太岁	hhts
好好说话	hhuh
花花世界	hhuj
虎虎生威	hhuw
赫赫之功	hhvg
黄河之水天上来	hhvl
悔恨终生	hhvu
慌慌张张	hhvv
挥霍无度	hhwd
赫赫威名	hhwm
后患无穷	hhwq
何患无辞	hhwc
好好学习	hhxx
好好学习，天天向上	hhxu
挥霍一空	hhyk
挥挥衣袖	hhyx
赫赫有名	hhym
后会有期	hhyq
昏昏欲睡	hhyu
祸害遗千年	hhyn
黄鹤一去不复返	hhyf
怀恨在心	hhzx
何尝不是	hibu
何出此言	hicy
混吃等死	hids
回肠荡气	hidq
挥斥方遒	hifq
或长或短	hihd
好吃好喝	hihh
呼哧呼哧	hihi
憨吃哈胀	hihv
红橙黄绿青蓝紫	hihz
回肠九转	hijv
寒窗苦读	hikd
酣畅淋漓	hill
好吃懒做	hilz
回春妙手	himu
怀揣梦想	himx
豁出去了	hiql
寒蝉凄切	hiqq
汗出如浆	hirj
红尘俗世	hisu
好长时间	hiuj
横冲直撞	hivv
横冲直闯	hivi
很成问题	hiwt
红尘万丈	hiwv
合成纤维	hixw
还差一点	hiyd
回嗔作喜	hizx
阖家安康	hjak
厚积薄发	hjbf
好景不长	hjbi
好久不见	hjbj
慧极必伤	hjbu
后继乏人	hjfr
后继乏力	hjfl
横加干涉	hjgu
火急火燎	hjhl
狐假虎威	hjhw
很久很久以前	hjhq
好聚好散	hjhs
好酒好肉	hjhr
好酒好菜	hjhc
化茧成蝶	hjid
讳疾忌医	hjjy
虎踞龙盘	hjlp
花街柳巷	hjlx
胡搅蛮缠	hjmi
挥金如土	hjrt
海角天涯	hjty
好酒贪杯	hjtb
黄金时代	hjud
花甲之年	hjvn
横加指责	hjvz
后继无人	hjwr
后继无力	hjwl
祸及无辜	hjwg
怀瑾握瑜	hjwy
阖家幸福	hjxf
欢聚一堂	hjyt
荒郊野岭	hjyl
荒郊野外	hjyw
很久以前	hjyq
行家一出手，就知有没有	hjyy
